index, x, y
1591, 0, 13
1592, 1, 13
1593, 2, 13
1594, 3, 13
1595, 4, 13
1596, 5, 13
1597, 6, 13
1598, 7, 13
1599, 8, 13
1600, 9, 13
1601, 10, 13
1602, 11, 13
1603, 12, 13
1604, 13, 13
1605, 14, 13
1606, 15, 13
1607, 16, 13
1608, 17, 13
1609, 18, 13
1610, 19, 13
1611, 20, 13
1612, 21, 13
1613, 22, 13
1614, 23, 13
1615, 24, 13
1616, 25, 13
1617, 26, 13
1618, 27, 13
1619, 28, 13
1620, 29, 13
1621, 30, 13
1622, 31, 13
1623, 32, 13
1624, 33, 13
1625, 34, 13
1626, 35, 13
1627, 36, 13
1628, 37, 13
1629, 38, 13
1630, 39, 13
1631, 40, 13
1632, 41, 13
1633, 42, 13
1634, 43, 13
1635, 44, 13
1636, 45, 13
1637, 46, 13
1638, 47, 13
1639, 48, 13
1640, 49, 13
1641, 0, 12
1642, 1, 12
1643, 2, 12
1644, 3, 12
1645, 4, 12
1646, 5, 12
1647, 6, 12
1648, 7, 12
1649, 8, 12
1650, 9, 12
1651, 10, 12
1652, 11, 12
1653, 12, 12
1654, 13, 12
1655, 14, 12
1656, 15, 12
1657, 16, 12
1658, 17, 12
1659, 18, 12
1660, 19, 12
1661, 20, 12
1662, 21, 12
